,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
집행B,23590875,6608025,25072225,58085475,59085475,,,,,,,
집행B 평균,28339150,28339150,28339150,28339150,28339151,,,,,,,
목표A,35000000,35000000,40000000,50000000,35000000,35000000,41000000,90000000,49000000,128000000,77000000,86000000
목표A 평균,40000000,40000000,40000000,40000000,40000001,,,,,,,
실적C,53340425,32366100,38981650,56357950,52021400,83410325,107452700,105457500,118168300,57185700,65954475,166166835
실적C 평균,45261531,45261531,45261531,45261531,45261532,,,,,,,
