,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
집행B,23590875,6608025,25072225,58085475,59085475,69085475,69085476,69085477,69085478,69085479,69085480,69085481
집행B 평균,28339150,28339150,28339150,28339150,28339151,28339152,28339153,28339154,28339155,28339156,28339157,28339158
목표A,35000000,35000000,40000000,50000000,35000000,35000000,41000000,90000000,49000000,128000000,77000000,86000000
목표A 평균,40000000,40000000,40000000,40000000,40000001,40000002,40000003,40000004,40000005,40000006,40000007,40000008
실적C,53340425,32366100,38981650,56357950,52021400,83410325,107452700,105457500,118168300,57185700,65954475,166166835
실적C 평균,45261531,45261531,45261531,45261531,45261532,45261533,45261534,45261535,45261536,45261537,45261538,45261539
