,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
집행B," 23,590,875 "," 6,608,025 "," 25,072,225 "," 58,085,475 ",,,,,,,,
집행B 평균," 28,339,150 "," 28,339,150 "," 28,339,150 "," 28,339,150 ",,,,,,,,
목표A," 35,000,000 "," 35,000,000 "," 40,000,000 "," 50,000,000 ",,,,,,,,
목표A 평균," 40,000,000 "," 40,000,000 "," 40,000,000 "," 40,000,000 ",,,,,,,,
실적C," 53,340,425 "," 32,366,100 "," 38,981,650 "," 56,357,950 ",,,,,,,,
실적C 평균," 45,261,531 "," 45,261,531 "," 45,261,531 "," 45,261,531 ",,,,,,,,
