,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
집행B,23590875,6608025,25072225,58085475,,,,,,,,
집행B 평균,28339150,28339150,28339150,28339150,,,,,,,,
목표A,35000000,35000000,40000000,50000000,35000000,,,,,,,
목표A 평균,39000000,39000000,39000000,39000000,39000000,,,,,,,
실적C,53340425,32366100,38981650,56357950,52021400,,,,,,,
실적C 평균,46613505,46613505,46613505,46613505,46613505,,,,,,,
